user_id,age,city_tier,signup_date,card_activated,upi_linked,referral_used
U0070,25,Tier 1,2024-02-23,0,0,0
U0071,21,Tier 2,2024-05-13,0,0,0
U0072,15,Tier 2,2024-08-16,0,1,1
U0073,13,Tier 2,2024-06-08,1,1,0
U0074,22,Tier 1,2024-12-03,1,1,0
U0075,20,Tier 3,2024-01-27,0,0,0
U0076,21,Tier 2,2024-10-23,1,1,0
U0077,21,Tier 2,2024-07-31,1,1,1
U0078,14,Tier 1,2024-03-01,1,1,0
U0079,17,Tier 2,2024-02-25,1,1,0
U0080,14,Tier 2,2024-04-15,0,1,0
U0081,22,Tier 1,2024-09-09,1,1,0
U0082,20,Tier 1,2024-01-02,1,1,0
U0083,17,Tier 3,2024-10-28,0,1,1
U0084,14,Tier 1,2024-02-21,1,1,0
U0085,17,Tier 1,2024-09-27,1,1,1
U0086,17,Tier 2,2024-03-01,1,1,0
U0087,21,Tier 3,2024-07-29,0,0,1
U0088,20,Tier 1,2024-11-20,1,1,1
U0089,23,Tier 2,2024-09-11,0,1,0
U0090,18,Tier 1,2024-04-05,1,1,0
U0091,14,Tier 1,2024-11-18,1,1,0
U0092,20,Tier 1,2024-08-04,1,1,0
U0093,21,Tier 3,2024-08-28,1,1,0
U0094,19,Tier 1,2024-07-03,0,1,0
U0095,21,Tier 1,2024-09-27,0,1,0
U0096,18,Tier 2,2024-11-18,1,1,0
U0097,19,Tier 3,2024-07-29,1,1,0
U0098,18,Tier 1,2024-01-27,0,1,0
U0099,13,Tier 2,2024-11-08,1,1,0
U0100,14,Tier 1,2024-03-31,1,1,1
U0101,13,Tier 2,2024-08-02,0,1,0
U0102,20,Tier 2,2024-07-13,1,1,1
U0103,17,Tier 2,2024-12-02,0,1,1
U0104,18,Tier 1,2024-08-11,1,1,1
U0105,23,Tier 1,2024-05-01,0,0,0
U0106,16,Tier 1,2024-10-09,1,0,1
U0107,18,Tier 1,2024-04-30,1,1,0
U0108,21,Tier 1,2024-11-03,1,1,0
U0109,16,Tier 3,2024-02-11,1,1,0
U0110,14,Tier 3,2024-09-16,1,1,0
U0111,16,Tier 3,2024-07-04,1,0,0
U0112,15,Tier 3,2024-03-18,1,0,0
U0113,23,Tier 2,2024-05-24,0,0,0
U0114,21,Tier 2,2024-03-01,1,1,0
U0115,20,Tier 1,2024-08-30,1,1,0
U0116,22,Tier 2,2024-01-27,1,0,0
U0117,21,Tier 2,2024-06-02,1,1,1
U0118,15,Tier 2,2024-01-07,1,0,0
U0119,23,Tier 3,2024-04-05,1,1,1
U0120,19,Tier 1,2024-05-25,0,1,1
U0121,21,Tier 1,2024-03-13,1,1,0
U0122,23,Tier 3,2024-05-12,1,1,0
U0123,17,Tier 1,2024-08-13,0,1,0
U0124,14,Tier 2,2024-12-31,0,1,0
U0125,16,Tier 3,2024-12-25,1,1,0
U0126,18,Tier 2,2024-07-07,0,1,1
U0127,22,Tier 2,2024-09-20,1,1,0
U0128,22,Tier 1,2024-03-13,0,1,1
U0129,13,Tier 1,2024-03-05,1,0,1
U0130,19,Tier 3,2024-05-30,0,1,0
U0131,18,Tier 2,2024-09-29,0,1,1
U0132,16,Tier 2,2024-07-07,1,0,1
U0133,14,Tier 1,2024-07-15,1,0,0
U0134,17,Tier 1,2024-11-18,1,1,1
U0135,24,Tier 3,2024-08-19,1,0,1
U0136,17,Tier 1,2024-06-10,1,1,1
U0137,19,Tier 2,2024-02-14,1,1,1
U0138,20,Tier 1,2024-03-14,1,1,1
U0139,17,Tier 2,2024-04-23,1,1,0
U0140,24,Tier 3,2024-01-18,1,0,1
U0141,24,Tier 2,2024-07-02,1,0,0
U0142,16,Tier 1,2024-07-02,1,0,1
U0143,18,Tier 2,2024-05-17,0,0,0
U0144,17,Tier 3,2024-05-28,1,1,0
U0145,16,Tier 2,2024-08-04,1,1,0
U0146,13,Tier 3,2024-12-16,0,0,0
U0147,19,Tier 2,2024-03-26,0,0,0
U0148,18,Tier 3,2024-04-01,1,0,1
U0149,14,Tier 2,2024-08-13,0,0,0
U0150,16,Tier 1,2024-03-25,1,1,0
U0151,23,Tier 1,2024-04-23,0,0,1
U0152,16,Tier 1,2024-02-05,1,0,1
U0153,15,Tier 3,2024-10-20,1,0,1
U0154,18,Tier 3,2024-05-14,1,1,0
U0155,25,Tier 2,2024-02-22,0,1,1
U0156,16,Tier 1,2024-03-25,1,1,1
U0157,20,Tier 1,2024-04-02,1,1,0
U0158,21,Tier 3,2024-09-27,1,1,0
U0159,16,Tier 2,2024-10-10,0,1,1
U0160,21,Tier 1,2024-08-09,0,1,1
U0161,17,Tier 2,2024-07-07,1,1,0
U0162,20,Tier 1,2024-04-06,1,1,0
U0163,20,Tier 1,2024-10-31,1,1,0
U0164,19,Tier 2,2024-01-24,1,1,0
U0165,14,Tier 1,2024-02-12,0,1,1
U0166,22,Tier 3,2024-09-05,1,1,1
U0167,17,Tier 1,2024-07-25,1,1,0
U0168,15,Tier 1,2024-07-27,1,1,0
U0169,13,Tier 1,2024-01-07,1,1,0
U0170,19,Tier 3,2024-02-03,1,0,0
U0171,20,Tier 2,2024-10-16,1,1,0
U0172,13,Tier 2,2024-02-02,1,1,1
U0173,19,Tier 1,2024-02-19,1,0,1
U0174,16,Tier 1,2024-10-14,1,1,1
U0175,20,Tier 2,2024-02-17,1,0,1
U0176,15,Tier 3,2024-02-07,1,0,1
U0177,20,Tier 3,2024-02-11,0,1,0
U0178,17,Tier 1,2024-11-29,1,1,1
U0179,23,Tier 2,2024-10-19,1,1,1
U0180,15,Tier 3,2024-01-18,0,1,1
U0181,17,Tier 1,2024-08-21,0,1,0
U0182,14,Tier 3,2024-11-14,1,1,0
U0183,23,Tier 1,2024-11-27,1,0,0
U0184,22,Tier 3,2024-10-19,1,1,0
U0185,16,Tier 3,2024-10-14,1,1,0
U0186,20,Tier 3,2024-08-08,1,1,1
U0187,22,Tier 2,2024-05-01,0,1,1
U0188,19,Tier 1,2024-10-06,0,1,1
U0189,19,Tier 3,2024-07-24,1,1,0
U0190,16,Tier 1,2024-11-08,1,1,1
U0191,14,Tier 1,2024-02-26,1,0,1
U0192,23,Tier 2,2024-03-14,1,1,0
U0193,23,Tier 3,2024-04-06,1,1,0
U0194,20,Tier 3,2024-09-03,0,1,0
U0195,17,Tier 1,2024-11-28,1,1,1
U0196,17,Tier 3,2024-09-27,0,1,0
U0197,21,Tier 2,2024-11-03,0,0,0
U0198,23,Tier 1,2024-02-02,0,0,1
U0199,23,Tier 1,2024-05-26,1,1,0
U0200,21,Tier 1,2024-05-26,1,1,0
U0201,20,Tier 1,2024-11-18,1,1,1
U0202,14,Tier 3,2024-03-22,1,1,1
U0203,15,Tier 2,2024-05-27,1,1,0
U0204,23,Tier 2,2024-05-10,1,1,1
U0205,19,Tier 3,2024-01-24,1,1,0
U0206,13,Tier 1,2024-06-05,1,1,1
U0207,14,Tier 3,2024-11-04,0,0,0
U0208,20,Tier 2,2024-08-27,1,0,0
U0209,13,Tier 3,2024-11-13,1,1,0
U0210,15,Tier 1,2024-01-08,1,1,1
U0211,19,Tier 3,2024-10-04,0,0,1
U0212,20,Tier 1,2024-03-23,1,1,1
U0213,20,Tier 1,2024-02-04,1,0,1
U0214,16,Tier 3,2024-12-02,1,1,1
U0215,20,Tier 1,2024-06-22,0,1,0
U0216,16,Tier 2,2024-01-18,0,1,1
U0217,17,Tier 2,2024-08-15,1,0,0
U0218,21,Tier 2,2024-08-28,1,1,0
U0219,20,Tier 1,2024-01-18,1,1,0
U0220,22,Tier 1,2024-04-06,1,1,0
U0221,20,Tier 1,2024-03-05,0,0,1
U0222,19,Tier 2,2024-05-20,0,0,0
U0223,14,Tier 1,2024-06-06,0,0,0
U0224,17,Tier 1,2024-10-31,1,0,0
U0225,16,Tier 1,2024-08-24,1,1,0
U0226,16,Tier 1,2024-08-01,1,1,0
U0227,24,Tier 2,2024-11-01,0,1,1
U0228,18,Tier 3,2024-12-31,0,1,1
U0229,23,Tier 1,2024-11-08,1,0,0
U0230,20,Tier 2,2024-08-19,1,0,0
U0231,21,Tier 2,2024-03-21,1,1,0
U0232,18,Tier 2,2024-12-29,1,1,1
U0233,19,Tier 2,2024-12-29,0,0,0
U0234,18,Tier 2,2024-05-07,1,1,0
U0235,15,Tier 2,2024-11-23,0,1,1
U0236,21,Tier 1,2024-06-26,1,1,1
U0237,16,Tier 2,2024-05-23,0,1,1
U0238,13,Tier 2,2024-01-21,1,1,0
U0239,20,Tier 1,2024-06-29,0,1,0
U0240,15,Tier 1,2024-12-14,1,1,1
U0241,24,Tier 3,2024-10-20,1,0,1
U0242,24,Tier 2,2024-12-09,1,1,0
U0243,23,Tier 2,2024-12-21,1,1,0
U0244,17,Tier 3,2024-03-10,1,0,0
U0245,13,Tier 2,2024-02-15,1,1,0
U0246,23,Tier 2,2024-01-09,0,1,1
U0247,18,Tier 3,2024-09-03,1,0,0
U0248,24,Tier 3,2024-05-03,0,1,1
U0249,24,Tier 2,2024-08-19,0,0,0
U0250,22,Tier 2,2024-12-28,1,1,1
U0251,17,Tier 1,2024-03-01,0,1,0
U0252,17,Tier 3,2024-01-11,1,1,1
U0253,22,Tier 2,2024-09-22,1,1,0
U0254,17,Tier 1,2024-08-11,1,0,1
U0255,15,Tier 3,2024-01-26,0,1,0
U0256,19,Tier 2,2024-11-14,1,0,0
U0257,23,Tier 1,2024-05-04,1,0,1
U0258,20,Tier 2,2024-04-05,1,1,0
U0259,19,Tier 2,2024-05-10,0,0,0
U0260,14,Tier 3,2024-07-22,1,1,0
U0261,19,Tier 1,2024-12-19,0,1,0
U0262,25,Tier 3,2024-09-29,0,0,0
U0263,15,Tier 2,2024-10-14,0,1,0
U0264,19,Tier 1,2024-01-20,0,1,0
U0265,22,Tier 3,2024-08-29,0,1,1
U0266,21,Tier 2,2024-03-13,1,1,1
U0267,20,Tier 1,2024-04-12,1,1,0
U0268,20,Tier 2,2024-09-28,1,1,1
U0269,17,Tier 3,2024-10-10,1,1,0
U0270,17,Tier 1,2024-06-02,1,1,1
U0271,21,Tier 1,2024-10-04,1,1,0
U0272,22,Tier 1,2024-02-03,1,1,0
U0273,22,Tier 1,2024-08-31,0,1,0
U0274,23,Tier 3,2024-01-22,1,0,0
U0275,19,Tier 2,2024-12-07,0,1,0
U0276,18,Tier 1,2024-06-10,1,1,1
U0277,21,Tier 1,2024-07-05,1,1,1
U0278,20,Tier 1,2024-03-30,0,1,1
U0279,20,Tier 3,2024-05-09,1,1,0
U0280,21,Tier 1,2024-10-30,1,0,1
U0281,23,Tier 3,2024-10-21,1,0,1
U0282,17,Tier 2,2024-03-05,1,0,0
U0283,17,Tier 1,2024-08-02,0,0,0
U0284,14,Tier 3,2024-12-15,0,1,1
U0285,19,Tier 2,2024-01-20,1,1,1
U0286,13,Tier 2,2024-08-29,1,0,0
U0287,18,Tier 3,2024-03-08,1,1,0
U0288,19,Tier 1,2024-10-30,1,0,1
U0289,16,Tier 1,2024-12-27,1,0,0
U0290,19,Tier 2,2024-02-06,1,0,0
U0291,13,Tier 1,2024-09-19,1,1,0
U0292,13,Tier 1,2024-02-09,1,0,0
U0293,22,Tier 1,2024-08-17,1,1,0
U0294,17,Tier 1,2024-12-28,0,1,0
U0295,15,Tier 3,2024-11-26,1,1,1
U0296,19,Tier 1,2024-01-31,0,0,1
U0297,21,Tier 2,2024-10-31,0,0,0
U0298,16,Tier 2,2024-06-23,1,1,0
U0299,20,Tier 2,2024-06-24,1,1,0
U0300,14,Tier 1,2024-07-18,0,1,1
U0301,14,Tier 3,2024-05-15,0,0,0
U0302,19,Tier 1,2024-05-04,0,1,1
U0303,19,Tier 3,2024-08-02,1,1,0
U0304,20,Tier 3,2024-08-12,0,1,1
U0305,21,Tier 2,2024-02-22,1,1,0
U0306,24,Tier 2,2024-01-04,0,1,0
U0307,19,Tier 2,2024-11-18,0,1,1
U0308,17,Tier 1,2024-02-20,1,0,1
U0309,21,Tier 3,2024-06-24,0,0,0
U0310,16,Tier 3,2024-07-11,1,1,0
U0311,18,Tier 1,2024-03-19,0,0,1
U0312,14,Tier 2,2024-12-06,1,1,1
U0313,13,Tier 3,2024-02-27,0,1,1
U0314,24,Tier 3,2024-07-25,1,1,0
U0315,22,Tier 2,2024-01-08,0,1,1
U0316,20,Tier 2,2024-10-29,1,0,1
U0317,18,Tier 1,2024-01-14,1,1,0
U0318,15,Tier 3,2024-02-23,1,1,0
U0319,15,Tier 1,2024-02-04,0,0,1
U0320,16,Tier 2,2024-05-11,1,1,0
U0321,19,Tier 1,2024-12-29,1,0,0
U0322,20,Tier 1,2024-06-07,1,0,0
U0323,20,Tier 2,2024-07-26,0,1,1
U0324,16,Tier 3,2024-09-02,1,0,0
U0325,24,Tier 1,2024-09-14,1,1,1
U0326,21,Tier 2,2024-07-21,1,1,1
U0327,19,Tier 1,2024-03-09,1,1,1
U0328,19,Tier 1,2024-01-16,1,1,0
U0329,18,Tier 2,2024-06-13,1,0,0
U0330,16,Tier 2,2024-06-30,0,1,0
U0331,17,Tier 1,2024-05-06,0,1,1
U0332,21,Tier 1,2024-01-20,1,0,0
U0333,13,Tier 1,2024-06-05,1,1,0
U0334,14,Tier 1,2024-07-15,0,1,1
U0335,13,Tier 3,2024-11-15,1,1,0
U0336,13,Tier 3,2024-07-22,0,0,1
U0337,22,Tier 1,2024-07-10,1,1,0
U0338,20,Tier 2,2024-08-13,1,1,1
U0339,18,Tier 3,2024-12-27,1,1,0
U0340,14,Tier 1,2024-12-27,0,1,0
U0341,18,Tier 3,2024-09-25,1,0,0
U0342,18,Tier 3,2024-09-21,1,1,1
U0343,15,Tier 1,2024-08-07,1,1,0
U0344,18,Tier 1,2024-04-22,0,1,1
U0345,18,Tier 3,2024-11-10,0,0,0
U0346,19,Tier 2,2024-07-31,1,0,0
U0347,20,Tier 1,2024-06-16,1,1,1
U0348,13,Tier 1,2024-05-10,0,1,1
U0349,17,Tier 2,2024-12-29,1,1,0
U0350,20,Tier 2,2024-09-16,1,1,0
U0351,18,Tier 2,2024-02-25,1,1,1
U0352,22,Tier 3,2024-06-22,0,1,1
U0353,20,Tier 1,2024-11-26,1,1,1
U0354,15,Tier 2,2024-11-25,0,0,0
U0355,14,Tier 2,2024-11-13,1,1,0
U0356,20,Tier 2,2024-05-02,1,0,0
U0357,13,Tier 1,2024-06-28,0,1,0
U0358,19,Tier 3,2024-02-21,1,0,0
U0359,24,Tier 3,2024-04-07,1,1,0
U0360,19,Tier 2,2024-07-10,1,1,1
U0361,17,Tier 2,2024-10-23,0,0,0
U0362,20,Tier 1,2024-10-30,0,1,1
U0363,18,Tier 2,2024-10-08,0,1,1
U0364,19,Tier 2,2024-11-19,0,1,0
U0365,24,Tier 2,2024-01-30,1,0,1
U0366,17,Tier 3,2024-02-01,1,1,0
U0367,24,Tier 2,2024-08-28,0,0,0
U0368,23,Tier 1,2024-10-04,1,1,0
U0369,15,Tier 3,2024-07-11,1,1,1
U0370,14,Tier 1,2024-02-09,1,1,1
U0371,14,Tier 1,2024-07-18,1,1,1
U0372,13,Tier 1,2024-10-21,0,1,0
U0373,14,Tier 2,2024-03-21,1,1,0
U0374,20,Tier 3,2024-07-25,1,1,0
U0375,14,Tier 2,2024-08-24,0,1,0
U0376,17,Tier 3,2024-11-01,1,1,0
U0377,22,Tier 2,2024-07-21,1,0,0
U0378,13,Tier 1,2024-08-10,1,0,0
U0379,22,Tier 3,2024-10-22,0,0,1
U0380,16,Tier 1,2024-07-14,0,1,0
U0381,14,Tier 1,2024-04-20,0,0,0
U0382,20,Tier 2,2024-04-10,0,1,1
U0383,20,Tier 1,2024-10-20,1,1,1
U0384,22,Tier 1,2024-04-02,0,0,1
U0385,21,Tier 2,2024-12-04,0,0,0
U0386,21,Tier 2,2024-03-22,1,1,1
U0387,16,Tier 2,2024-08-15,1,1,0
U0388,15,Tier 3,2024-03-15,0,1,0
U0389,21,Tier 2,2024-08-29,0,1,0
U0390,21,Tier 3,2024-07-25,0,0,1
U0391,25,Tier 1,2024-01-08,0,1,1
U0392,18,Tier 2,2024-10-20,1,0,1
U0393,17,Tier 3,2024-05-16,1,1,1
U0394,21,Tier 2,2024-12-18,1,0,0
U0395,17,Tier 2,2024-09-26,1,0,1
U0396,23,Tier 1,2024-09-18,0,1,0
U0397,22,Tier 1,2024-09-22,1,1,1
U0398,18,Tier 2,2024-03-10,1,0,0
U0399,21,Tier 1,2024-11-11,1,1,0
U0400,21,Tier 3,2024-01-03,1,1,0
U0401,14,Tier 1,2024-12-27,1,1,0
U0402,23,Tier 3,2024-09-10,1,1,1
U0403,18,Tier 3,2024-02-22,1,0,0
U0404,22,Tier 1,2024-09-27,1,1,0
U0405,17,Tier 1,2024-06-21,0,0,0
U0406,23,Tier 3,2024-09-22,1,1,0
U0407,17,Tier 3,2024-08-30,1,0,0
U0408,13,Tier 2,2024-11-01,1,1,0
U0409,23,Tier 1,2024-12-01,1,1,0
U0410,14,Tier 2,2024-03-31,1,1,0
U0411,17,Tier 2,2024-12-09,0,0,1
U0412,24,Tier 1,2024-08-21,0,1,0
U0413,24,Tier 2,2024-07-23,1,0,0
U0414,19,Tier 1,2024-03-13,1,1,0
U0415,20,Tier 1,2024-11-28,0,1,0
U0416,18,Tier 1,2024-11-14,0,0,1
U0417,17,Tier 1,2024-06-09,0,1,0
U0418,17,Tier 1,2024-08-17,1,1,0
U0419,20,Tier 2,2024-06-20,1,1,0
U0420,21,Tier 1,2024-01-27,1,1,1
U0421,21,Tier 1,2024-01-28,1,1,0
U0422,21,Tier 1,2024-10-17,1,1,0
U0423,14,Tier 3,2024-05-29,1,1,0
U0424,18,Tier 2,2024-10-05,1,0,0
U0425,14,Tier 2,2024-08-01,0,0,0
U0426,19,Tier 2,2024-09-27,0,1,0
U0427,18,Tier 3,2024-11-30,1,1,0
U0428,23,Tier 1,2024-11-29,0,1,1
U0429,17,Tier 2,2024-06-02,1,0,1
U0430,14,Tier 2,2024-06-20,0,1,1
U0431,15,Tier 2,2024-02-26,1,1,0
U0432,21,Tier 1,2024-08-02,1,0,0
U0433,19,Tier 2,2024-04-08,1,1,0
U0434,14,Tier 1,2024-02-26,1,0,0
U0435,14,Tier 2,2024-09-03,0,1,0
U0436,20,Tier 2,2024-06-06,1,1,0
U0437,14,Tier 1,2024-09-11,1,0,1
U0438,22,Tier 3,2024-11-17,1,1,0
U0439,20,Tier 1,2024-12-18,1,0,1
U0440,14,Tier 3,2024-01-06,1,1,1
U0441,14,Tier 2,2024-10-22,0,0,1
U0442,25,Tier 1,2024-05-27,0,1,1
U0443,17,Tier 1,2024-10-14,0,1,1
U0444,17,Tier 3,2024-05-11,0,1,0
U0445,22,Tier 1,2024-06-24,1,1,1
U0446,24,Tier 1,2024-11-01,0,1,0
U0447,25,Tier 1,2024-05-21,1,1,1
U0448,21,Tier 2,2024-10-08,0,1,1
U0449,17,Tier 2,2024-10-07,1,1,0
U0450,14,Tier 1,2024-02-07,0,1,0
U0451,21,Tier 1,2024-04-16,0,1,0
U0452,19,Tier 1,2024-07-27,0,1,0
U0453,18,Tier 1,2024-05-24,0,0,0
U0454,23,Tier 2,2024-07-17,0,1,0
U0455,14,Tier 2,2024-04-18,0,1,0
U0456,18,Tier 1,2024-03-25,1,1,0
U0457,13,Tier 1,2024-09-07,1,0,1
U0458,18,Tier 1,2024-09-08,1,1,0
U0459,14,Tier 3,2024-03-08,1,1,1
U0460,14,Tier 3,2024-05-21,1,1,0
U0461,14,Tier 3,2024-03-16,1,1,0
U0462,20,Tier 1,2024-12-29,1,0,1
U0463,21,Tier 1,2024-08-20,0,1,1
U0464,19,Tier 1,2024-02-18,0,1,1
U0465,24,Tier 1,2024-07-01,1,0,0
U0466,17,Tier 2,2024-10-25,1,1,1
U0467,16,Tier 3,2024-06-03,1,0,1
U0468,22,Tier 3,2024-10-13,1,1,0
U0469,16,Tier 3,2024-01-08,0,0,0
U0470,24,Tier 1,2024-12-12,1,0,1
U0471,13,Tier 2,2024-10-31,1,1,1
U0472,24,Tier 1,2024-11-07,0,0,1
U0473,13,Tier 1,2024-12-05,0,1,1
U0474,23,Tier 2,2024-07-23,1,1,1
U0475,19,Tier 1,2024-06-22,0,1,0
U0476,25,Tier 2,2024-12-07,1,1,0
U0477,14,Tier 1,2024-07-19,1,0,0
U0478,19,Tier 2,2024-09-06,1,1,0
U0479,24,Tier 3,2024-05-18,1,0,1
U0480,19,Tier 1,2024-11-20,1,1,1
U0481,20,Tier 3,2024-07-09,1,1,0
U0482,20,Tier 1,2024-07-20,0,1,1
U0483,18,Tier 2,2024-08-15,0,1,0
U0484,20,Tier 2,2024-02-23,1,0,0
U0485,19,Tier 2,2024-08-06,1,0,0
U0486,23,Tier 3,2024-03-26,0,0,1
U0487,13,Tier 1,2024-08-21,1,0,1
U0488,16,Tier 2,2024-11-04,0,1,0
U0489,24,Tier 2,2024-12-05,1,1,0
U0490,23,Tier 3,2024-06-18,1,1,1
U0491,18,Tier 1,2024-02-06,1,1,0
U0492,20,Tier 3,2024-06-12,1,1,1
U0493,16,Tier 2,2024-07-08,1,1,1
U0494,15,Tier 1,2024-06-12,1,1,0
U0495,18,Tier 2,2024-09-16,1,1,0
U0496,17,Tier 1,2024-04-04,1,0,0
U0497,19,Tier 2,2024-02-21,1,1,0
U0498,14,Tier 3,2024-04-28,1,1,1
U0499,24,Tier 2,2024-03-12,1,1,0
U0500,25,Tier 2,2024-05-14,1,0,1
U0501,20,Tier 2,2024-09-08,1,0,0
U0502,19,Tier 1,2024-07-11,1,1,0
U0503,17,Tier 1,2024-03-14,0,1,1
U0504,22,Tier 2,2024-07-06,1,0,0
U0505,20,Tier 1,2024-01-30,0,1,0
U0506,15,Tier 1,2024-09-01,1,0,0
U0507,23,Tier 2,2024-10-05,1,0,0
U0508,22,Tier 1,2024-10-04,1,1,1
U0509,24,Tier 1,2024-08-15,0,1,1
U0510,21,Tier 2,2024-03-30,1,1,1
U0511,19,Tier 1,2024-08-03,1,1,1
U0512,18,Tier 3,2024-08-08,1,0,0
U0513,23,Tier 3,2024-07-15,1,0,0
U0514,22,Tier 2,2024-12-05,1,0,0
U0515,13,Tier 1,2024-03-29,1,1,0
U0516,13,Tier 3,2024-01-30,1,1,0
U0517,17,Tier 3,2024-03-15,1,1,1
U0518,22,Tier 3,2024-12-04,1,1,0
U0519,25,Tier 1,2024-06-25,0,1,0
U0520,15,Tier 2,2024-09-19,0,1,0
U0521,19,Tier 3,2024-01-10,1,1,1
U0522,17,Tier 2,2024-10-31,0,0,0
U0523,24,Tier 2,2024-05-13,0,1,1
U0524,22,Tier 2,2024-04-09,1,0,0
U0525,22,Tier 2,2024-04-12,1,1,0
U0526,18,Tier 1,2024-01-19,0,1,1
U0527,18,Tier 2,2024-02-08,1,0,0
U0528,16,Tier 1,2024-05-12,1,0,0
U0529,14,Tier 2,2024-10-30,0,1,0
U0530,22,Tier 1,2024-05-14,1,1,0
U0531,22,Tier 2,2024-01-30,0,1,1
U0532,25,Tier 1,2024-11-24,0,1,0
U0533,25,Tier 2,2024-04-21,0,0,0
U0534,19,Tier 3,2024-09-19,1,1,1
U0535,21,Tier 1,2024-11-20,1,1,0
U0536,24,Tier 1,2024-12-30,1,0,0
U0537,22,Tier 1,2024-07-03,1,1,1
U0538,16,Tier 3,2024-11-07,1,1,1
U0539,18,Tier 2,2024-09-17,1,1,1
U0540,15,Tier 2,2024-10-26,1,1,0
U0541,24,Tier 1,2024-09-25,1,1,0
U0542,19,Tier 2,2024-10-03,1,1,1
U0543,16,Tier 3,2024-08-07,0,1,0
U0544,20,Tier 3,2024-09-26,0,0,1
U0545,19,Tier 2,2024-06-15,0,0,0
U0546,17,Tier 1,2024-02-01,1,1,0
U0547,14,Tier 1,2024-05-23,0,1,0
U0548,20,Tier 1,2024-01-04,0,1,1
U0549,19,Tier 1,2024-07-14,1,1,0
U0550,21,Tier 1,2024-08-17,1,0,0
U0551,19,Tier 1,2024-05-15,1,1,0
U0552,22,Tier 1,2024-07-05,1,1,0
U0553,19,Tier 3,2024-10-05,1,1,1
U0554,19,Tier 2,2024-02-12,1,1,0
U0555,22,Tier 3,2024-07-23,0,1,0
U0556,18,Tier 2,2024-11-28,1,0,0
U0557,15,Tier 1,2024-12-07,1,0,0
