txn_id,user_id,txn_date,txn_type,category,amount,status
T964616,U0015,2024-10-05,QR,Food,487.85,success
T323987,U0015,2024-12-28,QR,Transport,474.42,success
T515030,U0015,2024-11-06,FamCard,Education,138.52,success
T931563,U0015,2025-02-23,QR,Education,73.14,success
T505456,U0016,2024-11-03,UPI,Shopping,240.81,success
T976408,U0016,2024-10-05,UPI,Shopping,105.88,success
T637596,U0016,2024-06-30,UPI,Shopping,193.78,failed
T835451,U0016,2024-11-11,UPI,Shopping,243.12,success
T477973,U0016,2024-07-09,FamCard,Entertainment,342.51,success
T673614,U0016,2024-06-18,UPI,Entertainment,173.17,success
T819542,U0016,2024-09-30,UPI,Shopping,1251.32,success
T108279,U0016,2024-11-03,FamCard,Transport,184.93,success
T176474,U0017,2025-02-12,UPI,Gaming,464.55,success
T255170,U0017,2025-02-19,UPI,Education,178.03,success
T411916,U0017,2024-12-01,QR,Shopping,156.77,success
T894091,U0017,2025-02-20,UPI,Shopping,738.82,success
T779376,U0017,2024-12-20,FamCard,Entertainment,341.81,success
T100310,U0017,2025-02-01,UPI,Entertainment,152.91,failed
T324370,U0017,2024-10-17,UPI,Education,481.92,success
T195101,U0017,2024-11-11,QR,Entertainment,101.48,success
T525089,U0017,2024-12-02,FamCard,Food,59.65,success
T650623,U0017,2024-11-21,UPI,Education,57.14,success
T110198,U0017,2024-11-24,QR,Gaming,29.47,success
T784346,U0018,2024-04-25,QR,Food,52.94,success
T564370,U0018,2024-08-03,QR,Education,130.31,success
T274620,U0018,2024-03-19,UPI,Shopping,156.2,success
T508360,U0018,2024-07-13,QR,Shopping,222.29,pending
T884517,U0018,2024-04-29,UPI,Gaming,152.06,success
T144178,U0018,2024-04-29,FamCard,Entertainment,104.11,success
T784820,U0018,2024-03-26,QR,Education,281.48,success
T219786,U0018,2024-05-10,UPI,Food,223.39,success
T360067,U0018,2024-06-26,FamCard,Entertainment,2.11,success
T788907,U0018,2024-06-29,FamCard,Education,421.47,success
T195076,U0018,2024-05-25,QR,Food,115.08,success
T995872,U0018,2024-05-02,UPI,Food,13.33,success
T505648,U0018,2024-07-27,FamCard,Food,528.7,success
T104309,U0018,2024-07-24,FamCard,Education,80.63,success
T771288,U0019,2024-06-04,UPI,Transport,487.26,success
T846211,U0019,2024-03-24,FamCard,Entertainment,494.93,success
T394278,U0019,2024-06-27,UPI,Shopping,289.26,success
T744942,U0019,2024-03-31,QR,Education,6.91,success
T684231,U0019,2024-05-10,QR,Food,98.66,success
T115968,U0019,2024-06-09,QR,Food,70.61,success
T973608,U0019,2024-06-23,UPI,Shopping,121.86,success
T927063,U0019,2024-02-25,UPI,Gaming,826.91,success
T211407,U0019,2024-02-15,UPI,Entertainment,98.85,success
T277176,U0019,2024-02-04,QR,Transport,472.53,success
T895787,U0019,2024-04-25,UPI,Shopping,67.94,failed
T920380,U0019,2024-01-29,FamCard,Food,538.43,failed
T346034,U0020,2024-08-04,FamCard,Education,88.49,success
T429864,U0020,2024-04-18,QR,Entertainment,224.8,success
T113097,U0020,2024-09-18,FamCard,Education,428.0,success
T519359,U0020,2024-07-06,QR,Education,29.42,success
T900105,U0020,2024-08-18,UPI,Gaming,192.56,success
T109672,U0020,2024-09-08,UPI,Shopping,479.76,success
T944397,U0020,2024-09-09,QR,Food,980.13,success
T689495,U0020,2024-09-20,UPI,Education,206.91,success
T219908,U0021,2024-09-21,FamCard,Shopping,198.14,success
T854387,U0021,2024-09-06,QR,Transport,105.2,success
T954741,U0021,2024-08-25,UPI,Gaming,270.41,success
T484382,U0021,2024-06-04,UPI,Education,401.71,success
T463258,U0021,2024-04-24,UPI,Entertainment,125.47,success
T135593,U0021,2024-08-05,UPI,Education,62.62,success
T395182,U0021,2024-08-01,QR,Food,384.32,failed
T323494,U0021,2024-07-30,UPI,Education,27.4,success
T137077,U0021,2024-05-26,FamCard,Shopping,29.91,success
T653939,U0021,2024-05-15,FamCard,Shopping,67.49,success
T259743,U0021,2024-04-09,FamCard,Gaming,496.34,success
T167788,U0021,2024-09-17,QR,Education,436.76,success
T804282,U0021,2024-04-01,FamCard,Transport,116.72,success
T464522,U0021,2024-07-05,QR,Gaming,167.12,success
T943617,U0021,2024-07-27,UPI,Education,494.92,success
T417837,U0021,2024-06-29,FamCard,Entertainment,563.85,success
T820587,U0021,2024-04-03,UPI,Entertainment,65.02,success
T162974,U0021,2024-04-15,FamCard,Entertainment,139.78,success
T758257,U0022,2024-07-22,QR,Gaming,20.05,pending
T589627,U0022,2024-10-01,FamCard,Food,563.34,failed
T385339,U0022,2024-08-02,QR,Food,414.8,success
T784816,U0022,2024-06-25,FamCard,Gaming,11.03,failed
T838159,U0022,2024-09-28,UPI,Education,176.66,success
T480402,U0022,2024-10-02,FamCard,Shopping,288.68,success
T584039,U0022,2024-07-11,QR,Shopping,369.11,success
T270312,U0022,2024-08-23,QR,Transport,418.18,failed
T962891,U0022,2024-07-23,UPI,Transport,76.16,success
T841165,U0022,2024-06-19,UPI,Transport,200.95,pending
T142332,U0022,2024-08-23,QR,Food,159.13,success
T885073,U0022,2024-11-26,UPI,Food,370.93,success
T518584,U0022,2024-07-15,QR,Gaming,1057.18,failed
T156779,U0024,2024-12-10,QR,Entertainment,1240.96,success
T877526,U0024,2024-08-20,UPI,Gaming,518.59,success
T328811,U0024,2025-01-20,UPI,Shopping,156.44,success
T511652,U0024,2024-09-03,UPI,Shopping,12.02,success
T786196,U0024,2024-12-11,FamCard,Transport,63.62,success
T173718,U0024,2024-10-23,FamCard,Shopping,144.02,success
T665569,U0024,2024-11-18,FamCard,Gaming,78.59,success
T986863,U0024,2024-09-21,UPI,Shopping,483.33,success
T380448,U0024,2024-08-30,FamCard,Entertainment,902.9,failed
T801204,U0024,2024-08-24,UPI,Transport,101.24,pending
T561658,U0024,2024-08-21,UPI,Shopping,387.15,success
T974692,U0024,2024-10-19,UPI,Education,399.94,success
T132082,U0024,2024-12-16,UPI,Transport,326.16,success
T962150,U0024,2025-01-22,FamCard,Entertainment,109.34,pending
T497590,U0024,2024-08-10,FamCard,Education,682.92,success
T365857,U0026,2024-10-27,UPI,Shopping,226.51,success
T700509,U0031,2024-07-18,UPI,Shopping,673.69,failed
T964339,U0031,2024-10-04,FamCard,Shopping,866.32,success
T937415,U0031,2024-06-25,UPI,Entertainment,793.87,success
T287864,U0031,2024-06-23,QR,Gaming,151.57,success
T136082,U0031,2024-10-17,FamCard,Gaming,751.16,failed
T476448,U0031,2024-09-19,QR,Entertainment,103.5,success
T674622,U0031,2024-08-12,FamCard,Gaming,1444.64,success
T106864,U0031,2024-06-11,QR,Shopping,240.55,success
T471739,U0031,2024-10-04,QR,Gaming,416.97,pending
T211407,U0031,2024-05-20,FamCard,Food,159.84,success
T156195,U0031,2024-08-14,QR,Transport,71.6,success
T422013,U0031,2024-08-20,QR,Education,283.71,failed
T251742,U0031,2024-05-15,QR,Entertainment,436.99,pending
T352785,U0031,2024-08-15,UPI,Entertainment,840.95,success
T713122,U0031,2024-05-24,UPI,Transport,233.31,success
T629384,U0031,2024-09-02,QR,Shopping,41.15,success
T167948,U0036,2025-01-13,UPI,Education,360.25,success
T698082,U0036,2025-04-12,UPI,Entertainment,130.07,success
T199328,U0036,2025-03-14,QR,Gaming,159.51,success
T746994,U0036,2025-02-06,FamCard,Entertainment,393.45,success
T605689,U0036,2025-01-03,QR,Education,769.46,success
T165899,U0036,2025-02-22,QR,Shopping,320.83,success
T431409,U0036,2025-01-25,UPI,Shopping,77.11,success
T460503,U0036,2025-04-14,UPI,Gaming,393.96,success
T624347,U0036,2024-12-09,QR,Entertainment,42.3,success
T185206,U0036,2024-12-26,FamCard,Gaming,88.82,success
T862720,U0036,2024-12-04,UPI,Entertainment,640.24,success
T966611,U0036,2025-05-14,UPI,Education,201.45,success
T730368,U0036,2025-04-02,FamCard,Transport,350.4,success
T310017,U0036,2025-01-24,QR,Shopping,189.79,success
T641129,U0036,2025-05-17,UPI,Shopping,45.71,success
T310486,U0036,2024-12-01,QR,Entertainment,85.12,success
T812279,U0036,2025-05-13,FamCard,Shopping,137.26,success
T128863,U0036,2025-04-01,FamCard,Education,21.52,success
T255309,U0038,2024-07-26,UPI,Gaming,301.72,success
T479812,U0038,2024-10-26,UPI,Education,478.0,success
T241466,U0038,2024-09-27,QR,Transport,16.44,success
T591957,U0038,2024-07-11,UPI,Transport,199.37,success
T952922,U0038,2024-09-01,QR,Food,327.35,success
T388059,U0038,2024-11-07,UPI,Transport,78.63,success
T721596,U0038,2024-05-28,UPI,Gaming,1110.79,success
T339961,U0038,2024-10-13,FamCard,Entertainment,173.07,success
T356399,U0038,2024-06-03,QR,Education,260.67,success
T331568,U0038,2024-09-08,QR,Shopping,81.06,success
T321470,U0038,2024-11-21,UPI,Education,687.88,success
T764980,U0038,2024-09-13,FamCard,Education,86.3,failed
T113051,U0038,2024-06-21,FamCard,Transport,45.43,success
T677563,U0038,2024-10-08,FamCard,Gaming,84.06,success
T993473,U0038,2024-08-06,UPI,Entertainment,169.07,success
T237608,U0038,2024-09-17,FamCard,Shopping,305.69,success
T565648,U0038,2024-11-08,UPI,Food,399.1,success
T507677,U0038,2024-10-02,QR,Entertainment,242.76,success
T799343,U0038,2024-06-10,QR,Entertainment,353.36,success
T959457,U0039,2024-09-07,FamCard,Entertainment,2.11,success
T342688,U0039,2024-10-19,FamCard,Entertainment,225.02,success
T585825,U0039,2024-06-27,QR,Gaming,726.1,success
T776789,U0039,2024-10-09,FamCard,Education,728.76,success
T529555,U0039,2024-07-25,QR,Education,112.96,success
T606215,U0039,2024-08-03,UPI,Entertainment,140.2,success
T312757,U0039,2024-08-11,QR,Education,152.87,success
T330892,U0039,2024-10-26,FamCard,Food,193.79,success
T826733,U0039,2024-09-23,QR,Transport,324.6,success
T876998,U0039,2024-08-18,QR,Shopping,586.4,success
T689598,U0039,2024-10-11,FamCard,Food,1577.83,success
T185949,U0039,2024-08-01,UPI,Gaming,658.98,failed
T123016,U0039,2024-06-08,FamCard,Food,359.69,success
T645415,U0039,2024-07-06,FamCard,Gaming,1103.41,pending
T314253,U0039,2024-07-25,FamCard,Gaming,359.23,success
T572051,U0039,2024-10-01,FamCard,Education,594.71,success
T167254,U0039,2024-07-27,UPI,Gaming,120.17,pending
T475358,U0040,2024-08-25,QR,Education,23.7,success
T123911,U0042,2024-07-15,FamCard,Education,183.29,pending
T284789,U0042,2024-04-16,QR,Education,129.58,success
T455650,U0042,2024-03-09,FamCard,Education,285.92,success
T116946,U0042,2024-07-03,QR,Shopping,6.17,success
T423328,U0042,2024-02-22,QR,Education,277.68,success
T484797,U0042,2024-05-09,QR,Shopping,187.38,success
T932085,U0042,2024-04-26,UPI,Shopping,439.25,success
T905444,U0042,2024-01-31,UPI,Food,381.91,success
T711240,U0042,2024-06-25,FamCard,Gaming,10.01,success
T877372,U0042,2024-03-26,FamCard,Gaming,371.1,success
T514407,U0042,2024-06-25,FamCard,Gaming,7.39,success
T595617,U0042,2024-05-22,FamCard,Food,1046.56,failed
T965900,U0042,2024-03-18,UPI,Shopping,31.65,success
T440829,U0042,2024-03-05,UPI,Transport,1030.05,success
T831813,U0042,2024-06-23,QR,Gaming,34.78,success
T951892,U0042,2024-04-02,QR,Transport,1312.41,success
T302314,U0042,2024-07-09,QR,Transport,84.5,success
T480970,U0042,2024-04-10,QR,Shopping,1175.77,success
T220739,U0042,2024-05-19,FamCard,Entertainment,319.28,success
T639404,U0042,2024-02-15,QR,Education,497.11,success
T119139,U0042,2024-07-10,QR,Entertainment,541.12,success
T809426,U0043,2025-02-15,UPI,Gaming,225.36,success
T845383,U0043,2024-11-05,QR,Shopping,75.03,success
T695249,U0043,2025-01-28,FamCard,Gaming,549.4,success
T204459,U0043,2025-04-14,QR,Entertainment,546.76,success
T535510,U0043,2024-12-20,QR,Entertainment,75.44,success
T409045,U0043,2025-02-17,FamCard,Transport,205.46,success
T764263,U0043,2025-04-02,UPI,Food,273.75,pending
T217345,U0043,2024-12-09,FamCard,Transport,586.64,failed
T740290,U0043,2024-11-29,UPI,Shopping,10.53,success
T431602,U0043,2024-11-16,FamCard,Shopping,31.0,success
T470157,U0043,2025-01-12,QR,Education,204.12,success
T616833,U0043,2024-11-04,QR,Gaming,243.18,failed
T853470,U0043,2024-11-01,QR,Food,983.85,success
T934438,U0043,2025-02-17,UPI,Entertainment,670.86,success
T872125,U0043,2025-01-29,UPI,Food,211.37,success
T560395,U0043,2025-04-20,QR,Education,34.22,failed
T848567,U0043,2024-11-15,UPI,Gaming,388.95,failed
T328970,U0043,2025-01-27,QR,Entertainment,1819.63,success
T144793,U0043,2024-11-04,FamCard,Food,34.27,success
T395780,U0043,2025-03-29,QR,Food,136.85,success
T266248,U0043,2025-01-15,UPI,Entertainment,591.24,success
T654495,U0044,2024-07-23,QR,Education,1000.24,success
T565265,U0044,2024-02-26,FamCard,Education,106.29,success
T302455,U0044,2024-07-13,UPI,Shopping,220.02,success
T443086,U0044,2024-04-25,UPI,Gaming,627.16,success
T191963,U0044,2024-07-12,QR,Gaming,602.43,success
T419881,U0044,2024-03-07,FamCard,Entertainment,503.55,success
T149777,U0044,2024-02-26,FamCard,Education,123.8,failed
T768963,U0044,2024-04-28,QR,Shopping,190.7,pending
T585551,U0044,2024-04-10,UPI,Food,57.68,success
T159128,U0046,2024-12-07,QR,Education,118.61,success
T707516,U0046,2025-02-06,FamCard,Education,193.0,success
T774330,U0046,2025-01-03,QR,Food,111.67,success
T504993,U0046,2024-11-27,QR,Shopping,163.54,failed
T795995,U0046,2025-02-18,FamCard,Gaming,241.45,pending
T665724,U0046,2025-03-17,QR,Food,245.15,success
T973162,U0046,2024-11-19,UPI,Food,75.19,success
T241528,U0046,2024-10-27,UPI,Entertainment,269.04,success
T839949,U0046,2025-02-28,QR,Entertainment,492.46,success
T683439,U0046,2024-10-24,UPI,Gaming,15.52,success
T864223,U0046,2024-12-17,UPI,Transport,266.28,success
T938463,U0046,2024-11-21,QR,Transport,269.9,success
T141923,U0046,2025-01-22,QR,Education,56.68,success
T701486,U0046,2025-01-09,FamCard,Food,143.1,success
T400531,U0046,2024-11-09,UPI,Gaming,33.52,success
T755978,U0046,2024-10-11,UPI,Shopping,61.79,success
T254670,U0046,2024-12-08,FamCard,Shopping,787.14,success
T854261,U0047,2025-03-04,FamCard,Shopping,547.45,success
T291668,U0047,2025-06-16,FamCard,Shopping,112.92,failed
T771091,U0047,2025-03-29,FamCard,Gaming,0.78,success
T387898,U0047,2025-03-15,QR,Gaming,16.69,success
T205808,U0047,2025-03-25,UPI,Shopping,266.03,success
T824710,U0047,2025-01-27,QR,Entertainment,70.05,success
T109356,U0047,2025-02-27,QR,Shopping,372.82,success
T831291,U0047,2025-06-23,FamCard,Gaming,214.64,success
T538177,U0047,2025-04-04,QR,Shopping,213.55,success
T406468,U0047,2025-05-03,FamCard,Entertainment,1148.74,success
T215175,U0047,2025-03-13,FamCard,Education,127.54,success
T199307,U0047,2025-02-27,UPI,Education,534.44,success
T457501,U0047,2025-02-06,QR,Shopping,16.51,success
T527680,U0047,2025-02-18,FamCard,Education,445.86,success
T585308,U0047,2025-01-08,FamCard,Food,41.88,success
T466253,U0047,2025-01-29,UPI,Education,100.46,success
T431789,U0047,2025-05-07,QR,Entertainment,88.57,success
T165160,U0047,2025-02-26,UPI,Education,100.31,success
T593309,U0047,2025-02-09,FamCard,Food,110.82,failed
T481042,U0047,2025-03-05,UPI,Transport,92.63,success
T510614,U0047,2025-02-24,FamCard,Education,1104.79,failed
T702828,U0047,2025-05-09,FamCard,Entertainment,129.5,success
T129307,U0047,2025-05-04,FamCard,Shopping,314.91,failed
T850446,U0048,2024-11-15,QR,Education,613.14,success
T320245,U0048,2024-11-10,FamCard,Gaming,32.87,failed
T143065,U0048,2024-10-12,UPI,Entertainment,171.48,success
T190427,U0048,2024-07-16,UPI,Education,80.03,failed
T687174,U0048,2024-07-25,QR,Food,85.84,success
T865920,U0048,2024-06-11,UPI,Education,744.33,success
T631448,U0048,2024-11-23,FamCard,Transport,617.71,success
T529162,U0048,2024-12-06,FamCard,Education,375.5,success
T201621,U0048,2024-07-13,QR,Gaming,416.2,success
T164227,U0048,2024-10-18,QR,Shopping,7.76,failed
T443811,U0048,2024-07-15,FamCard,Gaming,5.78,success
T694020,U0048,2024-10-04,UPI,Transport,64.85,success
T391750,U0048,2024-07-01,FamCard,Shopping,605.06,success
T576331,U0048,2024-06-16,QR,Entertainment,702.71,success
T834717,U0048,2024-07-13,QR,Entertainment,159.58,success
T739660,U0048,2024-08-24,QR,Food,146.17,success
T205193,U0048,2024-11-03,FamCard,Entertainment,462.87,success
T590422,U0048,2024-08-06,UPI,Transport,78.44,success
T583699,U0048,2024-06-20,FamCard,Food,572.83,success
T406747,U0048,2024-12-04,UPI,Gaming,261.78,success
T603439,U0048,2024-09-25,FamCard,Gaming,249.15,success
T161847,U0052,2024-06-21,FamCard,Gaming,55.91,success
T265148,U0052,2024-04-15,QR,Food,759.62,success
T980149,U0052,2024-07-23,FamCard,Entertainment,744.8,success
T850135,U0052,2024-09-28,FamCard,Education,111.11,failed
T850639,U0052,2024-04-16,FamCard,Food,175.37,success
T678357,U0052,2024-06-09,FamCard,Transport,55.96,success
T824228,U0052,2024-04-26,FamCard,Education,278.69,success
T744284,U0052,2024-05-31,FamCard,Entertainment,238.78,success
T469888,U0052,2024-08-10,QR,Gaming,4.19,success
T601962,U0052,2024-09-03,UPI,Shopping,273.0,success
T813323,U0052,2024-04-26,UPI,Transport,489.4,success
T728478,U0052,2024-04-30,FamCard,Education,113.45,success
T522212,U0052,2024-08-03,QR,Gaming,394.62,failed
T859749,U0052,2024-04-06,UPI,Education,53.34,success
T726644,U0052,2024-07-06,UPI,Shopping,24.27,success
T841283,U0052,2024-04-10,UPI,Entertainment,207.8,success
T730733,U0052,2024-06-05,FamCard,Education,136.11,success
T485319,U0052,2024-07-18,FamCard,Gaming,267.87,failed
T925995,U0052,2024-08-06,UPI,Shopping,28.73,success
T787637,U0054,2025-01-03,UPI,Entertainment,320.84,success
T258617,U0055,2024-02-28,FamCard,Shopping,102.48,success
T216957,U0055,2024-07-19,UPI,Gaming,699.27,success
T259427,U0055,2024-04-12,UPI,Transport,183.82,success
T647923,U0055,2024-05-24,QR,Transport,587.27,success
T322449,U0055,2024-02-25,FamCard,Entertainment,234.1,success
T379636,U0055,2024-08-14,UPI,Education,136.9,failed
T248039,U0055,2024-04-03,QR,Shopping,370.57,pending
T203538,U0055,2024-06-28,UPI,Transport,24.18,success
T567506,U0055,2024-03-05,FamCard,Shopping,630.93,success
T776447,U0055,2024-03-24,UPI,Entertainment,106.28,pending
T670712,U0055,2024-03-30,QR,Shopping,722.59,success
T379422,U0055,2024-04-04,QR,Transport,288.71,success
T815892,U0055,2024-07-10,UPI,Transport,1387.06,success
T492434,U0055,2024-03-02,QR,Transport,13.1,success
T830834,U0055,2024-06-05,UPI,Shopping,602.19,success
T958094,U0055,2024-08-01,UPI,Transport,995.27,pending
T125950,U0055,2024-04-09,FamCard,Transport,761.38,success
T691922,U0055,2024-07-01,FamCard,Shopping,233.81,success
T272889,U0055,2024-03-03,UPI,Shopping,458.85,success
T434534,U0055,2024-06-21,QR,Transport,295.58,success
T717481,U0055,2024-04-13,FamCard,Food,97.05,success
T421039,U0055,2024-08-08,UPI,Shopping,588.38,success
T418921,U0055,2024-07-25,QR,Food,130.74,success
T932184,U0055,2024-06-27,FamCard,Food,11.49,failed
T600934,U0056,2024-12-18,UPI,Shopping,711.71,success
T756394,U0056,2025-01-19,QR,Education,55.1,success
T884627,U0056,2025-01-03,UPI,Entertainment,148.34,success
T693853,U0056,2024-12-26,FamCard,Food,3.94,success
T349971,U0056,2024-11-06,FamCard,Gaming,49.27,success
T249272,U0056,2024-09-20,QR,Transport,527.68,success
T723196,U0056,2025-02-08,FamCard,Gaming,83.7,success
T337880,U0056,2024-08-23,UPI,Gaming,59.47,success
T961532,U0056,2024-09-17,QR,Education,344.87,pending
T110713,U0056,2024-12-25,QR,Education,775.94,success
T328985,U0056,2024-11-28,UPI,Shopping,270.67,pending
T488831,U0056,2024-11-25,FamCard,Education,277.46,success
T636630,U0056,2024-11-07,FamCard,Education,841.06,success
T832136,U0057,2025-02-11,FamCard,Transport,638.33,success
T847593,U0057,2025-02-12,QR,Transport,26.94,success
T935967,U0057,2025-04-10,FamCard,Entertainment,137.54,success
T699786,U0057,2025-02-28,UPI,Gaming,69.37,success
T250208,U0057,2025-06-24,QR,Entertainment,181.54,success
T586993,U0057,2025-01-14,UPI,Education,1186.07,success
T248919,U0057,2025-02-04,QR,Entertainment,963.08,success
T628372,U0059,2024-11-18,UPI,Gaming,271.14,success
T182655,U0059,2024-08-28,UPI,Gaming,182.12,success
T263644,U0059,2024-07-14,FamCard,Transport,1418.31,success
T961701,U0059,2024-08-05,UPI,Shopping,463.98,failed
T253436,U0059,2024-12-01,FamCard,Entertainment,465.45,failed
T849876,U0059,2024-09-25,FamCard,Education,19.63,success
T331549,U0059,2024-08-15,UPI,Food,480.89,success
T258223,U0059,2024-08-19,FamCard,Gaming,67.4,success
T710935,U0059,2024-12-17,UPI,Gaming,133.84,success
T520839,U0059,2024-10-10,QR,Shopping,147.1,success
T314327,U0059,2024-12-22,QR,Education,675.54,success
T716032,U0059,2024-07-19,UPI,Education,631.16,failed
T760917,U0059,2024-07-22,UPI,Shopping,188.34,success
